index,Drug_Name,Reason,Description,Side_Effects
1832,Acarcip 25mg Tablet 10'SAcarcip 50mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Headache, Diarrhea, Dizziness"
1833,ACARSAFE 50mg Tablet 10's,Diabetes,reduces the diabetes,"Fatigue, Rash, Drowsiness"
1834,ACTIGLIPT 20mg Tablet 10's,Diabetes,reduces sugar level diabetes,"Nausea, Vomiting, Dry mouth"
1835,Actiglipt M 20/500mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Diarrhea, Rash, Dizziness"
1836,Human Actrapid 40IU Injection 1X10mlActrapid Flexpen 100IU 1X3mlActrapid 100IU Injection 10mlActrapid 100IU Disposable Pen 3mlActrapid HM Penfill Cartridge 1X3ml,Diabetes,reduces the diabetes,"Drowsiness, Stomach pain, Vomiting"
1837,Adglim 2mg Tablet 10'SAdglim 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Fatigue, Vomiting, Dizziness"
1838,Adglim M1 Forte Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Vomiting, Headache, Dizziness"
1839,Adglim M2 Forte Tablet 10'S,Diabetes,reduces the diabetes,"Rash, Diarrhea, Nausea"
1840,Adride 1mg Tablet 10'SAdride 4mg Tablet 10'SAdride 2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Vomiting, Nausea, Diarrhea"
1841,Adride 2M Forte Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Headache, Nausea, Diarrhea"
1842,Adride M 2mg Tablet 10'SAdride M 1mg Tablet 10'S,Diabetes,reduces the diabetes,"Nausea, Stomach pain, Dizziness"
1843,Advog 0.3mg Tablet 10'SAdvog 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Drowsiness, Stomach pain, Dry mouth"
1844,Advog M 0.3mg Tablet 10'SAdvog M 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Diarrhea, Nausea, Stomach pain"
1845,Advog M 0.2+ Tablet 10'S,Diabetes,reduces the diabetes,"Stomach pain, Diarrhea, Rash"
1846,ADVOG M 0.3+ Tablet 10's,Diabetes,reduces sugar level diabetes,"Dry mouth, Stomach pain, Nausea"
1847,Advog M Forte 0.3mg Tablet 10'SAdvog M Forte 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Fatigue, Vomiting, Diarrhea"
1848,AFDIEX 5mg Tablet 10'sAFDIEX 2.5mg Tablet 10's,Diabetes,reduces the diabetes,"Vomiting, Stomach pain, Fatigue"
1849,Afoglip 20mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Vomiting, Nausea, Stomach pain"
1850,Afoglip M 500mg/20mg Tablet 10'SAfoglip M 1000mg/20mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Dizziness, Rash, Vomiting"
1851,Agivog 0.2mg Tablet 10'SAgivog 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,"Headache, Dry mouth, Vomiting"
1852,Agivog M 0.2mg Tablet 10'SAgivog M 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Vomiting, Diarrhea, Headache"
1853,Aim7 30 XR Tablet 15'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Rash, Vomiting, Dry mouth"
1854,Aim7 60 XR Tablet 15'S,Diabetes,reduces the diabetes,"Rash, Drowsiness, Headache"
1855,Ajaduo 10mg Tablet 10'SAjaduo 25mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Rash, Drowsiness, Vomiting"
1856,Alfabose 0.2mg Tablet 10'SAlfabose 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Headache, Nausea, Dizziness"
1857,Allstar Reusable Insulin Pen(Device),Diabetes,reduces the diabetes,"Vomiting, Drowsiness, Diarrhea"
1858,Allstar Reusable(Teal Col) Device 1'S,Diabetes,reduces sugar level diabetes,"Nausea, Stomach pain, Dry mouth"
1859,Almetfor 500mg Tablet 20'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Diarrhea, Dry mouth, Nausea"
1860,Alphavog 0.2mg Tablet 10'SAlphavog 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,"Dizziness, Vomiting, Dry mouth"
1861,Alphavog M 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Nausea, Stomach pain, Dizziness"
1862,Amaryl 2mg Tablet 30'SAmaryl MV 2mg Tablet 10'SAmaryl 1mg Tablet 30'SAmaryl 4mg Tablet 30'SAmaryl MP 1mg Tablet 10'SAmaryl 3mg Tablet 30'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Stomach pain, Rash, Nausea"
1863,Amaryl M 1/500mg Tablet 10'SAmaryl M 1mg Tablet 15'SAmaryl M 2/500mg Tablet 10'SAmaryl M 2mg Tablet 15'S,Diabetes,reduces the diabetes,"Fatigue, Vomiting, Dry mouth"
1864,Amaryl M Forte 2mg Tablet 10'SAmaryl M Forte 2mg Tablet 15'SAmaryl M Forte 1mg Tablet 15'SAmaryl M Forte 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Headache, Drowsiness, Dizziness"
1865,Amaryl MP 2mg Tablet 10'SAmaryl MP 1/500/15mg Tablet 15'SAmaryl MP 2mg Tablet 15'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Rash, Fatigue, Diarrhea"
1866,Amaryl MV 1mg Tablet 15'SAmaryl MV 2mg Tablet 15'SAmaryl MV 0.2/500/2mg Tablet 10'SAmaryl MV 0.2/500/1mg Tablet 10'S,Diabetes,reduces the diabetes,"Headache, Dry mouth, Stomach pain"
1867,Amaryl P 2mg Tablet 10'SAmaryl P 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Dry mouth, Vomiting, Headache"
1868,Ameto 500mg Tablet 10'SAmeto 1000mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Dry mouth, Vomiting, Nausea"
1869,Ameto G 2mg Tablet 10'SAmeto G 3mg/500mg Tablet 10'SAmeto G 4mg/500mg Tablet 10'SAmeto G 1mg/1000mg Tablet 10'S,Diabetes,reduces the diabetes,"Dizziness, Nausea, Stomach pain"
1870,Anclazide M Tablet 10'S,Diabetes,reduces sugar level diabetes,"Drowsiness, Dizziness, Headache"
1871,ANGIOGLIM M1 Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Dry mouth, Vomiting, Nausea"
1872,ANGIOGLIM M2 Tablet 10's,Diabetes,reduces the diabetes,"Drowsiness, Fatigue, Diarrhea"
1873,Apidra 100IU Cartridge 1X3mlApidra Solostar 100IU Pen(Dispo) 1X3mlApidra 100IU Injection 1X10ml,Diabetes,reduces sugar level diabetes,"Fatigue, Rash, Headache"
1874,Aplevant 0.75Mg Injection 0.5ml,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Drowsiness, Stomach pain, Nausea"
1875,Apribose 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,"Rash, Headache, Fatigue"
1876,Apriglim 4mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Diarrhea, Nausea, Rash"
1877,APRIGLIM MV 1 Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Dizziness, Dry mouth, Stomach pain"
1878,APRIGLIM MV 103 Tablet 10's,Diabetes,reduces the diabetes,"Vomiting, Drowsiness, Diarrhea"
1879,APRIGLIM MV 2 Tablet 10's,Diabetes,reduces sugar level diabetes,"Drowsiness, Nausea, Fatigue"
1880,APRIGLIM MV 203 Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Vomiting, Drowsiness, Dry mouth"
1881,APRIGLIM MV 303 Tablet 10's,Diabetes,reduces the diabetes,"Fatigue, Stomach pain, Nausea"
1882,Arkamet Ipr 850mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Fatigue, Nausea, Rash"
1883,ARPIE 15mg Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Headache, Dizziness, Rash"
1884,Astromet G 2Mg Tablet 10'sAstromet G 0.5Mg Tablet 10's,Diabetes,reduces the diabetes,"Rash, Diarrhea, Nausea"
1885,ASTROMET G1 Tablet 10's,Diabetes,reduces sugar level diabetes,"Diarrhea, Drowsiness, Fatigue"
1886,Asugar Sr Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Headache, Nausea, Vomiting"
1887,Athgim M 1mg/500mg Tablet 10'SAthgim M 2mg/500mg Tablet 10'S,Diabetes,reduces the diabetes,"Dizziness, Rash, Diarrhea"
1888,Avibose 0.2mg Tablet 10'SAvibose 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Vomiting, Stomach pain, Rash"
1889,Avibose MF 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Nausea, Fatigue, Dry mouth"
1890,Avibose SF 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,"Rash, Diarrhea, Stomach pain"
1891,Aviglen 5mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Drowsiness, Diarrhea, Rash"
1892,Aviglen Forte Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Dizziness, Headache, Dry mouth"
1893,Aviglen MF Tablet 10'S,Diabetes,reduces the diabetes,"Nausea, Rash, Fatigue"
1894,Aviglic 80mg Tablet 10'S,Diabetes,reduces sugar level diabetes,"Diarrhea, Nausea, Dry mouth"
1895,Aviglic MF Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels","Dizziness, Vomiting, Rash"
1896,Aviglip 5mg Tablet 10'S,Diabetes,reduces the diabetes,"Fatigue, Headache, Dry mouth"
1897,AXEGLIPTIN M 1000mg Tablet 10's,Diabetes,reduces sugar level diabetes,"Dry mouth, Diarrhea, Vomiting"
1898,Tiniba N Tablet 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Dry mouth, Fatigue, Dizziness"
1899,TININOR SF Tablet 10's,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Dry mouth, Headache, Vomiting"
1900,TROPAMIDE 2mg Tablet 10's,Diarrhoea, reduces diarrhoea,"Vomiting, Stomach pain, Nausea"
1901,Trotz 10mg Powder 1.5gm,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Nausea, Vomiting, Dizziness"
1902,Tufpro Suspension 10X5ml,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Fatigue, Drowsiness, Stomach pain"
1903,UTIVAX Capsule 10's,Diarrhoea, reduces diarrhoea,"Drowsiness, Stomach pain, Nausea"
1904,Vebiotic Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Headache, Diarrhea, Drowsiness"
1905,Velgut D Sachet 1gmVelgut Capsule 10'S,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Fatigue, Drowsiness, Headache"
1906,Vibact Capsule 10'SVibact 0.5gm PowderVibact Dry Syrup 50ml,Diarrhoea, reduces diarrhoea,"Drowsiness, Fatigue, Vomiting"
1907,Vibact DS Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Vomiting, Diarrhea, Fatigue"
1908,Vitagut Capsule 10'S,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Stomach pain, Dizziness, Drowsiness"
1909,Vitagut Forte Capsule 10'S,Diarrhoea, reduces diarrhoea,"Fatigue, Rash, Dizziness"
1910,Vizylac Dry Syrup 60mlVizylac Capsule 15'S,Diarrhoea, reduces diarrhoea,"Stomach pain, Nausea, Drowsiness"
1911,Vizylac DT Tablet 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Headache, Vomiting, Nausea"
1912,Vizylac Rich Granules Sachet 8X1gm,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Dry mouth, Drowsiness, Rash"
1913,VSL 3 Capsule 10'S,Diarrhoea, reduces diarrhoea,"Dizziness, Stomach pain, Nausea"
1914,VSL 3 Lite Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Nausea, Dry mouth, Fatigue"
1915,Vygene Solution 100ml,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Nausea, Rash, Dry mouth"
1916,Walamycin Suspension 30ml,Diarrhoea, reduces diarrhoea,"Vomiting, Rash, Diarrhea"
1917,Wonderpro Banana Flavour 1gm Sachet,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Headache, Rash, Dizziness"
1918,Yogut Capsule 10'S,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Rash, Vomiting, Dizziness"
1919,Zedott DT 30mg Tablet 10'SZedott 10mg Powder Sachet 20X1gmZedott 100mg Capsule 10'SZedott Kid 30mg Sachet 3Gm,Diarrhoea, reduces diarrhoea,"Vomiting, Dry mouth, Stomach pain"
1920,Zedott DT 10mg Tablet 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Headache, Stomach pain, Diarrhea"
1921,Zedott Kid Powder Sachet 3X3Gm,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Headache, Rash, Fatigue"
1922,Zeebon R Suspension 5ml,Diarrhoea, reduces diarrhoea,"Stomach pain, Rash, Vomiting"
1923,Zeegut P Powder 1gmZeegut Capsule 10'S,Diarrhoea,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,"Fatigue, Vomiting, Nausea"
1924,Zomatril 10mg Sachet 1gm,Diarrhoea,"Â diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over","Diarrhea, Rash, Dry mouth"
1925,Zomatril DT 100mg Tablet 10'SZomatril DT 30mg Tablet 10'SZomatril DT 15mg Tablet 10'S,Diarrhoea, reduces diarrhoea,"Diarrhea, Headache, Vomiting"
1926,Agna 25000 Capsule 10'SAgna 10000 Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€.,"Nausea, Vomiting, Fatigue"
1927,Al5Zyme Effervescent Tablet 10'SAl5Zyme Capsule 10'SAl5zyme Liquid 100ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Dizziness, Stomach pain, Nausea"
1928,Alictozyme Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Dizziness, Headache, Nausea"
1929,Anglozyme Drops 15ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Nausea, Fatigue, Stomach pain"
1930,Anzyme Capsule 10'SAnzyme Tablet 15'SAnzyme Syrup 200mlAnzyme Drops 15ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Nausea, Dry mouth, Stomach pain"
1931,APIGEST Oral Drops 15mlApigest Capsule 10'sApigest Syrup 200ml,Digestion,it provides extra digestive enzymes and improves digestion,"Dry mouth, Diarrhea, Dizziness"
1932,Aristozyme Drops 15mlAristozyme Fizz Tablet 4'SAristozyme Liquid 200mlAristozyme Capsule 15'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Vomiting, Stomach pain, Rash"
1933,Astozyme Syrup 200ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Dry mouth, Rash, Diarrhea"
1934,Autolyse Ointment 15gm,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Drowsiness, Rash, Nausea"
1935,Autozyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Dizziness, Fatigue, Vomiting"
1936,Baleno EZ Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Diarrhea, Headache, Rash"
1937,Bestozyme Paediatric Syrup 60mlBestozyme Syrup 200mlBestozyme Drops 15mlBestozyme Capsule 15'S,Digestion,it provides extra digestive enzymes and improves digestion,"Drowsiness, Diarrhea, Stomach pain"
1938,Carmicide Adult Syrup 100mlCarmicide EZ Syrup 200ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Dizziness, Headache, Nausea"
1939,Carmicide Paed Liquid 100ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Diarrhea, Dizziness, Stomach pain"
1940,Carmopeptin Syrup 100mlCarmopeptin Drops 15ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Drowsiness, Headache, Nausea"
1941,Carmozyme Syrup 450mlCarmozyme Drops 15mlCarmozyme Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Headache, Vomiting, Fatigue"
1942,CATALYD Syrup 200mlCATALYD Drops 15ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Nausea, Dry mouth, Stomach pain"
1943,Colicaid EZ Drops 15ml,Digestion,it provides extra digestive enzymes and improves digestion,"Rash, Vomiting, Dry mouth"
1944,Creon 10000 Capsule 15'SCreon 10000 Capsule 10'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Nausea, Dry mouth, Vomiting"
1945,Creon 25000 Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Dry mouth, Fatigue, Dizziness"
1946,Creon 40000 Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Fatigue, Diarrhea, Headache"
1947,CREOPASE Capsule 10's,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Dry mouth, Diarrhea, Nausea"
1948,Debul Tablet 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Rash, Drowsiness, Diarrhea"
1949,Digemax Tablet 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Rash, Headache, Dry mouth"
1950,Digeplex Drops 15mlDigeplex Liquid 200mlDigeplex Syrup 100ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Drowsiness, Dizziness, Fatigue"
1951,Digeplex DS Syrup 100ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Vomiting, Rash, Nausea"
1952,DIGEPLEX READYMIX Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Headache, Diarrhea, Fatigue"
1953,Digeplex T Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Stomach pain, Fatigue, Drowsiness"
1954,Digesta Syrup 100mlDigesta Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Stomach pain, Drowsiness, Fatigue"
1955,Digestal NM Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Dry mouth, Diarrhea, Drowsiness"
1956,Digestomen 25000mg Capsule 10'SDigestomen Syrup 200ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Rash, Stomach pain, Nausea"
1957,Digestomen P Capsule 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Dizziness, Fatigue, Stomach pain"
1958,Digipen Junior Syrup 60ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Dry mouth, Diarrhea, Drowsiness"
1959,Dipep Suspension 150mlDipep Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Fatigue, Dizziness, Diarrhea"
1960,Econorm 250mg Capsule 4'SEconorm 250mg Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Dizziness, Drowsiness, Fatigue"
1961,Efizyme Syrup 200mlEfizyme Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions","Dry mouth, Fatigue, Vomiting"
1962,Elzymax Syrup 200ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Rash, Fatigue, Stomach pain"
1963,Encremin 300mg Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Nausea, Fatigue, Dry mouth"
1964,Endos Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Headache, Rash, Dry mouth"
1965,Entroflora 250mg Sachet 765mg,Digestion,it provides extra digestive enzymes and improves digestion,"Diarrhea, Fatigue, Vomiting"
1966,Enuff Xtra Sachet 1gm,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Drowsiness, Diarrhea, Stomach pain"
1967,Enzar Forte Tablet 15'SEnzar Syrup 150ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Rash, Stomach pain, Drowsiness"
1968,Enzar 10000 Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Fatigue, Rash, Diarrhea"
1969,Enzar 40000 Capsule 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Headache, Fatigue, Stomach pain"
1970,Enzar HS Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Drowsiness, Fatigue, Headache"
1971,Enzase 20mg Tablet 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Vomiting, Dizziness, Stomach pain"
1972,Enzase 25000 Tablet 10's,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Stomach pain, Nausea, Rash"
1973,Enzoblend Syrup 200ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Dry mouth, Dizziness, Diarrhea"
1974,Enzoy Capsule 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Nausea, Headache, Stomach pain"
1975,Enzymer Liquid 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Vomiting, Stomach pain, Drowsiness"
1976,Etazyme Tablet 15'SEtazyme Drops 15mlEtazyme Syrup 200ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Nausea, Dizziness, Stomach pain"
1977,Farizyme Tablet 10'S,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions","Headache, Dizziness, Drowsiness"
1978,Festal N Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Nausea, Diarrhea, Headache"
1979,Galto Plus Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Stomach pain, Drowsiness, Headache"
1980,GAS O Fast Plus Tablet 2'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Nausea, Drowsiness, Fatigue"
1981,Genozyme Syrup 100ml,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Vomiting, Dizziness, Diarrhea"
1982,Geridys Syrup 200mlGeridys Capsule 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Dizziness, Drowsiness, Dry mouth"
1983,Gestive Liquid 150ml,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Vomiting, Headache, Dizziness"
1984,Gripe Water(Abbott) Liquid 150ml,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Nausea, Dizziness, Stomach pain"
1985,Hizyme Drops 15ml,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Nausea, Dizziness, Dry mouth"
1986,Ibase L Syrup 200ml,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Stomach pain, Diarrhea, Nausea"
1987,KAYLIV Tablet 10's,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Headache, Rash, Fatigue"
1988,Krease Tablet 10'S,Digestion,it provides extra digestive enzymes and improves digestion,"Rash, Dizziness, Drowsiness"
1989,Levanz 25mg Tablet 10'S,Digestion,"itÂ speeds up the breakdown of fats, peptides and starch which helps in improving digestion.","Dry mouth, Vomiting, Headache"
1990,Levanz OD 75mg Tablet 10'S,Digestion,it helps in digestion of starch and carbohydrates from the diet into simple polysaccharides and sugar and improve uptake of nutrients from food substance,"Rash, Diarrhea, Headache"
1991,Levazeo 100mg Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Headache, Rash, Stomach pain"
1992,Levogold 100mg Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Headache, Diarrhea, Dry mouth"
1993,Lipcerna 25000mg Capsule 10'SLipcerna 10000mg Capsule 10'S,Digestion,"Â it is used to treat bloating, flatulence and indigestion","Stomach pain, Fatigue, Headache"
1994,Livoerb Zyme Syrup 225ml,Digestion,"it isÂ used for digestive disorders, starch degrading enzyme, flatulence, distension and other conditions","Vomiting, Headache, Stomach pain"
1995,Lupase 10000 Tablet 10'S,Digestion,used by children and adults with â€œpancreatic exocrine insufficiencyâ€. This is when their pancreas gland does not make enough enzymes to digest food,"Headache, Dry mouth, Fatigue"
1996,Lupase 25000 Tablet 10'S,Digestion,"Â it is used for digestive disorders, starch degrading enzyme, digestive disorder, flatulence, distension and other conditions","Rash, Headache, Fatigue"
